,Date,Open,High,Low,Close,Volume
971,2019-02-08,104.39,105.78,104.26,105.67,21461093
972,2019-02-11,106.2,106.58,104.97,105.25,18914123
973,2019-02-12,106.14,107.14,105.48,106.89,25056595
974,2019-02-13,107.5,107.78,106.71,106.81,18394869
975,2019-02-14,106.31,107.29,105.66,106.9,21784703
976,2019-02-15,107.91,108.3,107.36,108.22,26606886
977,2019-02-19,107.79,108.66,107.78,108.17,18038460
978,2019-02-20,107.86,107.94,106.29,107.15,21607671
979,2019-02-21,106.9,109.48,106.87,109.41,29063231
980,2019-02-22,110.05,111.2,109.82,110.97,27763218
981,2019-02-25,111.76,112.18,111.26,111.59,23750599
982,2019-02-26,111.26,113.24,111.17,112.36,21536733
983,2019-02-27,111.69,112.36,110.88,112.17,21487062
984,2019-02-28,112.04,112.88,111.73,112.03,29083934
985,2019-03-01,112.89,113.02,111.67,112.53,23501169
986,2019-03-04,113.02,113.25,110.8,112.26,26608014
987,2019-03-05,112.25,112.39,111.23,111.7,19538318
988,2019-03-06,111.87,112.66,111.43,111.75,17686996
989,2019-03-07,111.4,111.55,109.87,110.39,25338954
990,2019-03-08,109.16,110.71,108.8,110.51,22818430
991,2019-03-11,110.99,112.95,110.98,112.83,26491618
992,2019-03-12,112.82,113.99,112.65,113.62,26132717
993,2019-03-13,114.13,115.0,113.78,114.5,35513771
994,2019-03-14,114.54,115.2,114.33,114.59,30763367
995,2019-03-15,115.34,117.25,114.59,115.91,54630661
996,2019-03-18,116.17,117.61,116.05,117.57,31207596
997,2019-03-19,118.09,118.44,116.99,117.65,37588697
998,2019-03-20,117.39,118.75,116.71,117.52,28113343
999,2019-03-21,117.14,120.82,117.09,120.22,29854446
1000,2019-03-22,119.5,119.59,117.04,117.05,33624528
1001,2019-03-25,116.56,118.01,116.32,117.66,27067117
1002,2019-03-26,118.62,118.71,116.85,117.91,26097665
1003,2019-03-27,117.88,118.21,115.52,116.77,22733427
1004,2019-03-28,117.44,117.58,116.13,116.93,18334755
1005,2019-03-29,118.07,118.32,116.96,117.94,25399752
1006,2019-04-01,118.95,119.11,118.1,119.02,22789103
1007,2019-04-02,119.06,119.48,118.52,119.19,18142297
1008,2019-04-03,119.86,120.43,119.15,119.97,22860744
1009,2019-04-04,120.1,120.23,118.38,119.36,20112848
1010,2019-04-05,119.39,120.23,119.37,119.89,15826245
1011,2019-04-08,119.81,120.02,118.64,119.93,15116186
1012,2019-04-09,118.63,119.54,118.58,119.28,17611981
1013,2019-04-10,119.76,120.35,119.54,120.19,16477169
1014,2019-04-11,120.54,120.85,119.92,120.33,14209121
1015,2019-04-12,120.64,120.98,120.37,120.95,19745143
1016,2019-04-15,120.94,121.58,120.57,121.05,15792572
1017,2019-04-16,121.64,121.65,120.1,120.77,14071787
1018,2019-04-17,121.24,121.85,120.54,121.77,19300938
1019,2019-04-18,122.19,123.52,121.3,123.37,27990998
1020,2019-04-22,122.62,124.0,122.57,123.76,15648724
1021,2019-04-23,124.1,125.58,123.83,125.44,24025521
1022,2019-04-24,125.79,125.85,124.52,125.01,31256980
1023,2019-04-25,130.06,131.37,128.83,129.15,38033892
1024,2019-04-26,129.7,130.52,129.02,129.89,23654933
1025,2019-04-29,129.9,130.18,129.35,129.77,16324183
1026,2019-04-30,129.81,130.7,129.39,130.6,24166503
1027,2019-05-01,130.53,130.65,127.7,127.88,26821692
1028,2019-05-02,127.98,128.0,125.52,126.21,27350161
1029,2019-05-03,127.36,129.43,127.25,128.9,24911126
1030,2019-05-06,126.39,128.56,126.11,128.15,24239464
1031,2019-05-07,126.46,127.18,124.22,125.52,36017661
1032,2019-05-08,125.44,126.37,124.75,125.51,28418996
1033,2019-05-09,124.29,125.79,123.57,125.5,27235835
1034,2019-05-10,124.91,127.93,123.82,127.13,30915084
1035,2019-05-13,124.11,125.55,123.04,123.35,33944923
1036,2019-05-14,123.87,125.88,123.7,124.73,25266315
1037,2019-05-15,124.26,126.71,123.7,126.02,24722708
1038,2019-05-16,126.75,129.38,126.46,128.93,30112216
1039,2019-05-17,128.31,130.46,127.92,128.07,25770539
1040,2019-05-20,126.52,127.59,125.76,126.22,23706934
1041,2019-05-21,127.43,127.53,126.58,126.9,15293260
1042,2019-05-22,126.62,128.24,126.52,127.67,15396485
1043,2019-05-23,126.2,126.29,124.74,126.18,23603810
1044,2019-05-24,126.91,127.42,125.97,126.24,14123358
1045,2019-05-28,126.98,128.0,126.05,126.16,23128359
1046,2019-05-29,125.38,125.39,124.04,124.94,22763140
1047,2019-05-30,125.26,125.76,124.78,125.73,16829613
1048,2019-05-31,124.23,124.62,123.32,123.68,26646769
1049,2019-06-03,123.85,124.37,119.01,119.84,37983637
1050,2019-06-04,121.28,123.28,120.65,123.16,29382642
1051,2019-06-05,124.95,125.87,124.21,125.83,24926140
1052,2019-06-06,126.44,127.97,125.6,127.82,21458961
1053,2019-06-07,129.19,132.25,128.26,131.4,33885588
1054,2019-06-10,132.4,134.08,132.0,132.6,26477098
1055,2019-06-11,133.88,134.24,131.28,132.1,23913731
1056,2019-06-12,131.4,131.97,130.71,131.49,17092464
1057,2019-06-13,131.98,132.67,131.56,132.32,17200848
1058,2019-06-14,132.26,133.79,131.64,132.45,17821703
1059,2019-06-17,132.63,133.73,132.53,132.85,14517785
1060,2019-06-18,134.19,135.24,133.57,135.16,25934458
1061,2019-06-19,135.0,135.93,133.81,135.69,23744441
1062,2019-06-20,137.45,137.66,135.72,136.95,33042592
1063,2019-06-21,136.58,137.73,136.46,136.97,36727892
1064,2019-06-24,137.0,138.4,137.0,137.78,20628841
1065,2019-06-25,137.25,137.59,132.73,133.43,33327420
1066,2019-06-26,134.35,135.74,133.6,133.93,23657745
1067,2019-06-27,134.14,134.71,133.51,134.15,16557482
1068,2019-06-28,134.57,134.6,133.16,133.96,30042969
1069,2019-07-01,136.63,136.7,134.97,135.68,22654160
1070,2019-07-02,136.12,136.59,135.34,136.58,15237843
1071,2019-07-03,136.8,137.74,136.29,137.46,13629296
1072,2019-07-05,135.94,137.33,135.72,137.06,18141140
1073,2019-07-08,136.4,137.1,135.37,136.96,16779748
1074,2019-07-09,136.0,136.97,135.8,136.46,19953097
1075,2019-07-10,137.13,138.58,137.02,137.85,24204362
1076,2019-07-11,138.2,139.22,137.87,138.4,22327942
1077,2019-07-12,138.85,139.13,138.01,138.9,18936832
1078,2019-07-15,139.44,139.54,138.46,138.9,16651457
1079,2019-07-16,138.96,139.05,136.52,137.08,22726128
1080,2019-07-17,137.7,137.93,136.22,136.27,20210956
1081,2019-07-18,135.55,136.62,134.67,136.42,30808707
1082,2019-07-19,140.22,140.67,136.45,136.62,48992364
1083,2019-07-22,137.41,139.19,137.33,138.43,25080760
1084,2019-07-23,139.76,139.99,138.03,139.29,18034589
1085,2019-07-24,138.9,140.74,138.85,140.72,20738275
1086,2019-07-25,140.43,140.61,139.32,140.19,18356883
1087,2019-07-26,140.37,141.68,140.3,141.34,19037600
1088,2019-07-29,141.5,141.51,139.37,141.03,16605870
1089,2019-07-30,140.14,141.22,139.8,140.35,16846528
1090,2019-07-31,140.33,140.49,135.08,136.27,38598786
1091,2019-08-01,137.0,140.94,136.93,138.06,40557502
1092,2019-08-02,138.09,138.32,135.26,136.9,30791624
1093,2019-08-05,133.3,133.93,130.78,132.21,42749551
1094,2019-08-06,133.8,135.68,133.21,134.69,32696651
1095,2019-08-07,133.79,135.65,131.83,135.28,33414539
1096,2019-08-08,136.6,138.99,135.93,138.89,27496508
1097,2019-08-09,138.61,139.38,136.46,137.71,23466701
1098,2019-08-12,137.07,137.86,135.24,135.79,20484348
1099,2019-08-13,136.05,138.8,135.0,138.6,25496593
1100,2019-08-14,136.36,136.92,133.67,133.98,32527251
1101,2019-08-15,134.39,134.58,132.25,133.68,28125416
1102,2019-08-16,134.88,136.46,134.72,136.13,25026151
1103,2019-08-19,137.85,138.55,136.89,138.41,24370543
1104,2019-08-20,138.21,138.71,137.24,137.26,21188998
1105,2019-08-21,138.55,139.49,138.0,138.79,14982314
1106,2019-08-22,138.66,139.2,136.29,137.78,18709662
1107,2019-08-23,137.19,138.35,132.8,133.39,38515386
1108,2019-08-26,134.99,135.56,133.9,135.45,20325271
1109,2019-08-27,136.39,136.72,134.66,135.74,23115635
1110,2019-08-28,134.88,135.76,133.55,135.56,17410828
1111,2019-08-29,137.25,138.44,136.91,138.12,20179716
1112,2019-08-30,139.15,139.18,136.27,137.86,23946123
1113,2019-09-03,136.61,137.2,135.7,136.04,18880773
1114,2019-09-04,137.3,137.69,136.48,137.63,18015310
1115,2019-09-05,139.11,140.38,138.76,140.05,26119520
1116,2019-09-06,140.03,140.18,138.2,139.1,20824504
1117,2019-09-09,139.59,139.75,136.46,137.52,25773932
1118,2019-09-10,136.8,136.89,134.51,136.08,28903378
1119,2019-09-11,135.91,136.27,135.09,136.12,24726117
1120,2019-09-12,137.85,138.42,136.87,137.52,27009981
1121,2019-09-13,137.78,138.06,136.57,137.32,23363057
1122,2019-09-16,135.83,136.7,135.66,136.33,16731440
1123,2019-09-17,136.96,137.52,136.43,137.39,17976285
1124,2019-09-18,137.36,138.67,136.53,138.52,24473386
1125,2019-09-19,140.3,142.37,140.07,141.07,36095413
1126,2019-09-20,141.01,141.65,138.25,139.44,40040766
1127,2019-09-23,139.23,139.63,138.44,139.14,17408374
1128,2019-09-24,140.36,140.69,136.88,137.38,30016670
1129,2019-09-25,137.5,139.96,136.03,139.36,22544054
1130,2019-09-26,139.44,140.18,138.44,139.54,17813512
1131,2019-09-27,140.15,140.36,136.65,137.73,22498958
1132,2019-09-30,138.05,139.22,137.78,139.03,18430390
1133,2019-10-01,139.66,140.25,137.0,137.07,22581929
1134,2019-10-02,136.25,136.37,133.58,134.65,32001763
1135,2019-10-03,134.95,136.75,133.22,136.28,26379798
1136,2019-10-04,136.75,138.25,136.42,138.12,23839548
1137,2019-10-07,137.14,138.18,137.02,137.12,16601284
1138,2019-10-08,137.08,137.76,135.62,135.67,26783336
1139,2019-10-09,137.46,138.7,136.97,138.24,20178482
1140,2019-10-10,138.49,139.67,138.25,139.1,18396605
1141,2019-10-11,140.12,141.03,139.5,139.68,25551065
1142,2019-10-14,139.69,140.29,139.52,139.55,13591639
1143,2019-10-15,140.06,141.79,139.81,141.57,19917762
1144,2019-10-16,140.79,140.99,139.53,140.41,20841687
1145,2019-10-17,140.95,141.42,139.02,139.69,22102797
1146,2019-10-18,139.76,140.0,136.56,137.41,32284428
1147,2019-10-21,138.45,138.5,137.01,138.43,20716039
1148,2019-10-22,138.97,140.01,136.26,136.37,27935270
1149,2019-10-23,136.88,137.45,135.61,137.24,31380309
1150,2019-10-24,139.39,140.42,138.67,139.94,37278399
1151,2019-10-25,139.34,141.14,139.2,140.73,25959724
1152,2019-10-28,144.4,145.67,143.51,144.19,35280137
1153,2019-10-29,144.08,144.5,142.65,142.83,20589469
1154,2019-10-30,143.52,145.0,142.79,144.61,18496591
1155,2019-10-31,144.9,144.93,142.99,143.37,24605135
1156,2019-11-01,144.26,144.42,142.97,143.72,33128366
1157,2019-11-04,144.83,145.0,144.16,144.55,16911999
1158,2019-11-05,144.97,145.02,143.91,144.46,18250172
1159,2019-11-06,144.37,144.52,143.2,144.06,16575798
1160,2019-11-07,143.84,144.88,143.77,144.26,17786715
1161,2019-11-08,143.98,145.99,143.76,145.96,16752939
1162,2019-11-11,145.34,146.42,144.73,146.11,14370178
1163,2019-11-12,146.28,147.57,146.06,147.07,18648712
1164,2019-11-13,146.74,147.46,146.28,147.31,17444230
1165,2019-11-14,147.02,148.41,147.0,148.06,19755100
1166,2019-11-15,148.93,149.99,148.27,149.97,23508807
1167,2019-11-18,150.07,150.55,148.98,150.34,21554762
1168,2019-11-19,150.88,151.33,150.2,150.39,23960164
1169,2019-11-20,150.31,150.84,148.46,149.62,25720060
1170,2019-11-21,149.4,149.8,148.5,149.48,18576083
1171,2019-11-22,150.07,150.3,148.82,149.59,15841680
1172,2019-11-25,150.0,151.35,149.92,151.23,22428585
1173,2019-11-26,151.36,152.42,151.32,152.03,24635100
1174,2019-11-27,152.33,152.5,151.52,152.32,15201293
1175,2019-11-29,152.1,152.3,151.28,151.38,11977300
1176,2019-12-02,151.81,151.83,148.32,149.55,27473616
1177,2019-12-03,147.49,149.43,146.65,149.31,25192145
1178,2019-12-04,150.14,150.18,149.2,149.85,17580617
1179,2019-12-05,150.05,150.32,149.48,149.93,17880601
1180,2019-12-06,150.99,151.87,150.27,151.75,16410400
1181,2019-12-09,150.99,151.87,150.27,151.75,101612
1182,2019-12-10,151.29,151.89,150.76,151.13,16481060
1183,2019-12-11,151.54,151.87,150.33,151.7,18860001
1184,2019-12-12,151.65,153.44,151.02,153.24,24645366
1185,2019-12-13,153.0,154.89,152.83,154.53,23850062
1186,2019-12-16,155.11,155.9,154.82,155.53,24152770
1187,2019-12-17,155.45,155.71,154.45,154.69,25443527
1188,2019-12-18,154.3,155.48,154.18,154.37,24130046
1189,2019-12-19,154.0,155.77,153.75,155.71,25813825
1190,2019-12-20,157.35,158.49,156.29,157.41,53599613
1191,2019-12-23,158.12,158.12,157.27,157.41,17726283
1192,2019-12-24,157.48,157.71,157.12,157.38,8989150
1193,2019-12-26,157.56,158.73,157.4,158.67,14526927
1194,2019-12-27,159.45,159.55,158.22,158.96,18414352
1195,2019-12-30,158.99,159.02,156.73,157.59,16356720
1196,2019-12-31,156.77,157.77,156.45,157.7,18393383
1197,2020-01-02,158.78,160.73,158.33,160.62,22634546
1198,2020-01-03,158.32,159.95,158.06,158.62,21121681
1199,2020-01-06,157.08,159.1,156.51,159.03,20826702
1200,2020-01-07,159.32,159.67,157.32,157.58,21881740
1201,2020-01-08,158.93,160.8,157.95,160.09,27762026
1202,2020-01-09,161.84,162.22,161.03,162.09,21399951
1203,2020-01-10,162.82,163.22,161.18,161.34,20733946
1204,2020-01-13,161.76,163.31,161.26,163.28,21637007
1205,2020-01-14,163.39,163.6,161.72,162.13,23500783
1206,2020-01-15,162.62,163.94,162.57,163.18,21417871
1207,2020-01-16,164.35,166.24,164.03,166.17,23865360
1208,2020-01-17,167.42,167.47,165.43,167.1,34371659
1209,2020-01-21,166.68,168.19,166.43,166.5,29517191
1210,2020-01-22,167.4,167.49,165.68,165.7,24138777
1211,2020-01-23,166.19,166.8,165.27,166.72,19680766
1212,2020-01-24,167.51,167.53,164.45,165.04,24918117
1213,2020-01-27,161.15,163.38,160.2,162.28,32078067
1214,2020-01-28,163.78,165.76,163.07,165.46,24899940
1215,2020-01-29,167.84,168.75,165.69,168.04,35127771
1216,2020-01-30,174.05,174.05,170.79,172.78,51597470
1217,2020-01-31,172.21,172.4,169.58,170.23,36142690
1218,2020-02-03,170.43,174.5,170.4,174.38,30149052
1219,2020-02-04,177.14,180.64,176.31,180.12,36433339
1220,2020-02-05,184.03,184.2,178.41,179.9,39186324
1221,2020-02-06,180.97,183.82,180.06,183.63,27751381
1222,2020-02-07,182.85,185.63,182.48,183.89,33529074
1223,2020-02-10,183.58,188.84,183.25,188.7,35844267
1224,2020-02-11,190.65,190.7,183.5,184.44,53159906
1225,2020-02-12,185.58,185.85,181.85,184.71,47062921
1226,2020-02-13,183.08,186.23,182.87,183.71,35295834
1227,2020-02-14,183.25,185.41,182.65,185.35,23149516
1228,2020-02-18,185.61,187.7,185.5,187.23,27853113
1229,2020-02-19,188.06,188.18,186.47,187.28,29997471
1230,2020-02-20,186.95,187.25,181.1,184.42,36862376
1231,2020-02-21,183.17,183.5,177.25,178.59,48600385
1232,2020-02-24,167.77,174.55,163.23,170.89,68311066
1233,2020-02-25,174.2,174.84,167.65,168.07,68073295
1234,2020-02-26,169.71,173.26,168.21,170.17,56387148
1235,2020-02-27,163.32,167.03,157.98,158.18,93174906
